# Hattab et al. 2026 GIGA temperature digitization on normalized minor radius.
# The published coordinate is rho in [0, 1], but digitized Fig. 3 samples stop
# just short of both endpoints. The two endpoint rows below make the missing
# axis/separatrix slivers explicit with a zero-order hold; the original raw
# digitization is retained in Hattab2026_GIGA_TekeV.csv.
0.0; 22.11935857283653
0.014072078531688376; 22.11935857283653
0.050360184540138936; 21.313791433990275
0.0866486217502142; 20.512655772882283
0.12293705896028945; 19.711520111774295
0.15922483376711535; 18.901521495189776
0.1955132709771906; 18.100385834081784
0.23180104578401653; 17.290387217497262
0.2680898141957164; 16.49368303412754
0.3043772578009176; 15.679252939804753
0.34066569501099286; 14.878117278696763
0.3769541322210681; 14.076981617588773
0.41324223822951867; 13.27141447874252
0.4495303442379692; 12.465847339896264
0.4858187814480446; 11.664711678788274
0.5221072186581197; 10.863576017680284
0.5583953246665704; 10.058008878834029
0.5946834306750209; 9.252441739987773
0.6309718678850962; 8.451306078879785
0.6672609674984208; 7.659033373248327
0.7035484111036221; 6.84460327892554
0.7398361859104479; 6.0346046623410174
0.7761249543221479; 5.237900478971294
0.8124127291289738; 4.427901862386776
0.8487011663390489; 3.6267662012787873
0.8849892723474996; 2.8211990624325303
0.92127737835595; 2.015631923586273
0.9575654843644008; 1.2100647847400197
0.9889048170970332; 0.5090601516169109
1.0; 0.5090601516169109
