# Hattab et al. 2026 GIGA density digitization on normalized minor radius.
# The published coordinate is rho in [0, 1], but digitized Fig. 3 samples stop
# just short of both endpoints. The two endpoint rows below make the missing
# axis/separatrix slivers explicit with a zero-order hold; the original raw
# digitization is retained in Hattab2026_GIGA_ne19.csv.
0.0; 22.95150265485389
0.010829879587336402; 22.95150265485389
0.04883058503680887; 22.954133058157126
0.08848276114744077; 22.947057929050636
0.1281361516640299; 22.956231551651122
0.16778893497764039; 22.957280798398116
0.20743989668231513; 22.933956917584656
0.2470914655899685; 22.91875741262468
0.28674424890357897; 22.919806659371677
0.3263958178112324; 22.9046071544117
0.3660461723129286; 22.873158897744748
0.4056977412205819; 22.85795939278477
0.44369225319967276; 22.77772116238244
0.48168615797578507; 22.689358556126624
0.5213255828238667; 22.511671534096912
0.5609601500481195; 22.2689895052393
0.5989370531408315; 21.953144375085852
0.639654263275904; 21.45863584051312
0.6786308827012172; 20.834091491831355
0.717748459960845; 19.990193158783015
0.7567673233648113; 18.87818834073082
0.7889527244477657; 17.707507312927092
0.815961355816483; 16.538314175302094
0.8380177611324447; 15.427485387978825
0.8561154459092144; 14.404294935198516
0.8725600205767824; 13.368874200023518
0.886808342070803; 12.422763307750932
0.899948214527414; 11.383192947420275
0.9136400344915603; 10.359885911668076
0.9262206730048932; 9.206559716517114
0.9366232744340366; 8.386274639873175
0.9464599626871373; 7.362865594020576
0.9579360989824215; 6.1688883738592075
0.9677691440176508; 5.096733072885687
0.9775973314290514; 3.959582765084267
0.9874243044344946; 2.806183705575876
0.997251277439938; 1.652784646067488
1.0; 1.652784646067488
